,time,yhat_lower,yhat,yhat_upper,Zip_code
0,1996-04-01,58622.37092597758,59709.21455332106,60773.0530513674,28208
1,1996-05-01,58595.017230829086,59627.60577165057,60772.3936693118,28208
2,1996-06-01,58545.05905409389,59627.294917187704,60624.31778614714,28208
3,1996-07-01,58718.09548368891,59769.37049403068,60909.609211712304,28208
4,1996-08-01,58860.09092373781,60013.4296215839,61060.71611504197,28208
5,1996-09-01,59288.68966006678,60281.81358179548,61322.11297232955,28208
6,1996-10-01,59310.26865092245,60372.83363884058,61426.38925681125,28208
7,1996-11-01,59290.12561940848,60405.0202392602,61551.111511510826,28208
8,1996-12-01,59474.42281046304,60498.719943965574,61611.61971858366,28208
9,1997-01-01,59451.43326084063,60503.21196048995,61604.560922511315,28208
10,1997-02-01,59613.930329324125,60632.24633668754,61657.99757350663,28208
11,1997-03-01,59773.61475227856,60898.138259449166,62033.91852074082,28208
12,1997-04-01,59824.70471399333,60899.23800213052,61997.607002761324,28208
13,1997-05-01,59775.58586814204,60768.70098850649,61911.51318437174,28208
14,1997-06-01,59739.935283362356,60824.24444338508,61938.70825846185,28208
15,1997-07-01,59860.13082582514,60980.80476912255,62061.58009778269,28208
16,1997-08-01,60088.90350377177,61207.30757403608,62325.90872674012,28208
17,1997-09-01,60361.39523295518,61375.61074883923,62502.19983138695,28208
18,1997-10-01,60276.206167430806,61432.363805333676,62567.57435250857,28208
19,1997-11-01,60457.754937712016,61523.10157882641,62532.143662530885,28208
20,1997-12-01,60779.41594259131,61798.64043077907,62874.81367235033,28208
21,1998-01-01,61003.32883117957,62019.812440633184,63186.139960579094,28208
22,1998-02-01,61112.396432445115,62236.15119431498,63314.59540751181,28208
23,1998-03-01,61357.96832526799,62415.5848381466,63528.507079286246,28208
24,1998-04-01,61658.70823491592,62740.394724471334,63800.07847391898,28208
25,1998-05-01,61648.090642138464,62700.89917789239,63856.92014810861,28208
26,1998-06-01,61913.54117970575,62957.59336637177,64043.33020913289,28208
27,1998-07-01,62176.11059642951,63267.26962298998,64451.58009582763,28208
28,1998-08-01,62532.90352944194,63619.421425613145,64605.07616412423,28208
29,1998-09-01,62969.27717785545,64014.329210317315,65189.09748501327,28208
30,1998-10-01,63176.55306000601,64355.931419427296,65426.0267207911,28208
31,1998-11-01,63800.727206179574,64833.60535251337,65937.5347914744,28208
32,1998-12-01,64334.63871457118,65334.07654698811,66374.75038412509,28208
33,1999-01-01,64699.0465320885,65814.12505376278,66858.2211780881,28208
34,1999-02-01,65043.837918986435,66154.7079136557,67171.57811019912,28208
35,1999-03-01,65146.98953303069,66287.51933467906,67246.3912147951,28208
36,1999-04-01,65935.25278576095,66978.79606418495,68055.8216857509,28208
37,1999-05-01,66039.72444369347,67068.88993017949,68133.2355207134,28208
38,1999-06-01,66478.83838770911,67567.18102587096,68584.40983909051,28208
39,1999-07-01,67002.60757694852,68067.17288150758,69173.27662555105,28208
